benchmark,scale_label,n,path,status,wall_time_ns,peak_memory_bytes,load_time_ns,extra_metric_name,extra_metric_value,subprocess_elapsed_ns,exit_code,stderr_excerpt
B01,1M,1000000,naive,ok,,,46158792,load_time_ns,46158792,97944750,0,
B01,1M,1000000,optimized,ok,,,565375,load_time_ns,565375,64470667,0,
B01,10M,10000000,naive,ok,,,454291958,load_time_ns,454291958,513821458,0,
B01,10M,10000000,optimized,ok,,,1100834,load_time_ns,1100834,256047916,0,
B01,50M,50000000,naive,ok,,,3017954085,load_time_ns,3017954085,12425204089,0,"(generating lookup_50000000.bin, 0.37 GB)...
  (generating lookup_50000000.json)..."
B01,50M,50000000,optimized,ok,,,222458,load_time_ns,222458,1212010834,0,
B01,100M,100000000,naive,ok,,,5406018170,load_time_ns,5406018170,23522067677,0,"(generating lookup_100000000.bin, 0.75 GB)...
  (generating lookup_100000000.json)..."
B01,100M,100000000,optimized,ok,,,703000,load_time_ns,703000,2572718460,0,
B01,250M,250000000,naive,ok,,,0,load_time_ns,0,21745153052,0,"(generating lookup_250000000.bin, 1.86 GB)..."
B01,250M,250000000,optimized,ok,,,86754834,load_time_ns,86754834,1995106835,0,
B01,500M,500000000,naive,ok,,,0,load_time_ns,0,39656518559,0,"(generating lookup_500000000.bin, 3.73 GB)..."
B01,500M,500000000,optimized,ok,,,149164958,load_time_ns,149164958,2499848001,0,
B01,1B,1000000000,naive,ok,,,0,load_time_ns,0,77922147952,0,"(generating lookup_1000000000.bin, 7.45 GB)..."
B01,1B,1000000000,optimized,ok,,,228548500,load_time_ns,228548500,1988660210,0,
B02,1M,1000000,naive,ok,,25174016,,peak_memory_bytes,25174016,29751375,0,
B02,1M,1000000,optimized,ok,,16003072,,peak_memory_bytes,16003072,46879000,0,
B02,10M,10000000,naive,ok,,268439552,,peak_memory_bytes,268439552,95150000,0,
B02,10M,10000000,optimized,ok,,160002048,,peak_memory_bytes,160002048,238224125,0,
B02,50M,50000000,naive,ok,,1610620928,,peak_memory_bytes,1610620928,361305458,0,
B02,50M,50000000,optimized,ok,,800002048,,peak_memory_bytes,800002048,1097776126,0,
B02,100M,100000000,naive,ok,,3221233664,,peak_memory_bytes,3221233664,718767209,0,
B02,100M,100000000,optimized,ok,,1600000000,,peak_memory_bytes,1600000000,2154620042,0,
B02,250M,250000000,naive,ok,,6442459136,,peak_memory_bytes,6442459136,1692017918,0,
B02,250M,250000000,optimized,ok,,4000002048,,peak_memory_bytes,4000002048,5316485169,0,
B02,500M,500000000,naive,ok,,12884910080,,peak_memory_bytes,12884910080,3949661751,0,
B02,500M,500000000,optimized,ok,,8000000000,,peak_memory_bytes,8000000000,11246155256,0,
B02,1B,1000000000,naive,ok,,25769811968,,peak_memory_bytes,25769811968,10777254172,0,
B02,1B,1000000000,optimized,ok,,16000000000,,peak_memory_bytes,16000000000,22841243427,0,
B05,1M,1000000,naive,ok,103997000,394268672,,peak_memory_bytes,394268672,136829458,0,
B05,1M,1000000,optimized,ok,87975125,0,,peak_memory_bytes,0,106004708,0,
B05,5M,5000000,naive,ok,525264792,2017464320,,peak_memory_bytes,2017464320,603020125,0,
B05,5M,5000000,optimized,ok,449047375,0,,peak_memory_bytes,0,468074292,0,
B05,25M,25000000,naive,ok,3378793877,9957281792,,peak_memory_bytes,9957281792,3685804876,0,
B05,25M,25000000,optimized,ok,2192242959,0,,peak_memory_bytes,0,2210367834,0,
B05,100M,100000000,naive,OOM,,,,peak_memory_bytes,,28588705221,137,
B05,100M,100000000,optimized,ok,10439354379,0,,peak_memory_bytes,0,10617340463,0,
B05,500M,500000000,naive,OOM,,,,peak_memory_bytes,,24896530304,137,
B05,500M,500000000,optimized,ok,45679589896,0,,peak_memory_bytes,0,45807763062,0,
B06,100K,100000,naive,ok,,44040192,,ns_per_record,79.96459,55767750,0,
B06,100K,100000,optimized,ok,,10485760,,ns_per_record,10.71792,27856000,0,
B06,500K,500000,naive,ok,,221913088,,ns_per_record,89.33075,216539666,0,
B06,500K,500000,optimized,ok,,40017920,,ns_per_record,9.574918,74760083,0,
B06,1M,1000000,naive,ok,,443822080,,ns_per_record,93.0165,415557333,0,
B06,1M,1000000,optimized,ok,,80015360,,ns_per_record,9.57925,128678584,0,
B06,5M,5000000,naive,ok,,2244263936,,ns_per_record,88.3405334,2085535668,0,
B06,5M,5000000,optimized,ok,,400015360,,ns_per_record,11.4980916,658273084,0,
B06,25M,25000000,naive,ok,,11160489984,,ns_per_record,92.69105336,11486156338,0,
B06,25M,25000000,optimized,ok,,2000015360,,ns_per_record,9.46710164,2726860960,0,
B06,50M,50000000,naive,ok,,22323073024,,ns_per_record,84.92494504,27365036845,0,
B06,50M,50000000,optimized,ok,,4000010240,,ns_per_record,9.67431666,5490142586,0,
B06,100M,100000000,naive,OOM,,,,ns_per_record,,30082029889,137,
B06,100M,100000000,optimized,ok,,8000000000,,ns_per_record,9.59528001,11349372630,0,
